Taxon,TSN,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,TSN_OUT,OTU_BCG_MariNW,OTU_BSTI
Aaptos,48575,TRUE,Sponges excluded,DNI,DNI,FALSE,DNI,DNI
Ablabesmyia,128079,FALSE,,Ablabesmyia,Ablabesmyia,128079,Ablabesmyia,Ablabesmyia
Acalyptonotus,83508,FALSE,,DNI,Acalyptonotus,83508,Trombidiformes,DNI
Acamptocladius,128460,FALSE,,DNI,Acamptocladius,128460,Acamptocladius,DNI
Acar,79375,FALSE,,DNI,Acari,733321,Acari,DNI
Acari,733321,FALSE,,DNI,Acari,733321,Acari,DNI
Acarina,733321,FALSE,,DNI,Acari,733321,Acari,DNI
Acentrella,100801,FALSE,,DNI,Acentrella,100801,Acentrella,DNI
Acentrella insignificans,568572,FALSE,,Acentrella insignificans,Acentrella insignificans,568572,Acentrella insignificans,DNI
Acentrella insignificans complex,568572,FALSE,,Acentrella insignificans,Acentrella insignificans,568572,Acentrella insignificans,DNI
Acentrella turbida,568574,FALSE,,Acentrella turbida,Acentrella turbida,568574,Acentrella turbida,Acentrella turbida
Acerpenna,568546,FALSE,,DNI,Acerpenna,568546,Acerpenna,DNI
Acerpenna pygmaea,206620,FALSE,,DNI,Acerpenna pygmaea,206620,Acerpenna pygmaea,DNI
Achaeta,68560,FALSE,,DNI,Achaeta,68560,Oligochaeta,DNI
Acilius,112074,FALSE,,DNI,Acilius,112074,Acilius,DNI
Acilius abbreviatus,112080,FALSE,,DNI,Acilius,112074,Acilius,DNI
Acneus,114082,FALSE,,Acneus,Acneus,114082,Acneus,Acneus
Acricotopus,128463,FALSE,,DNI,Acricotopus,128463,Acricotopus,DNI
Acroneuria,102917,FALSE,I am skeptical of this ID,DNI,Perlodidae,102994,Perlodidae,DNI
Actinopterygii,0,TRUE,Fish,DNI,DNI,FALSE,DNI,DNI
Aedes,126234,FALSE,,DNI,Culicidae,125930,Culicidae,DNI
Aeshna,101603,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna californica,0,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna eremita,185978,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna interrupta,185979,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna juncea,185981,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna palmata,592674,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna umbrosa,101605,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna walkeri,592682,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshna/Rhionaeschna,-267,FALSE,Slashed taxon,Aeshnidae,Aeshna/Rhionaeschna,-267,Aeshna/Rhionaeschna,DNI
Aeshnidae,101596,FALSE,,Aeshnidae,Aeshnidae,101596,Aeshnidae,DNI
Afghanurus,-243,FALSE,,Afghanurus,Afghanurus,-243,Afghanurus,Afghanurus
Afghanurus criddlei,-244,FALSE,,Afghanurus,Afghanurus criddlei,-244,Afghanurus criddlei,Afghanurus
Agabinae,728212,FALSE,,Agabinae,Agabinae,728212,Agabinae,DNI
Agabinus,112068,FALSE,,Agabinae,Agabinus,112068,Agabinus,DNI
Agabinus glabrellus,112068,FALSE,,Agabinae,Agabinus,112068,Agabinus,DNI
Agabinus sculpturellus,112068,FALSE,,Agabinae,Agabinus,112068,Agabinus,DNI
Agabus,111966,FALSE,,Agabinae,Agabus,111966,Agabus,DNI
Agabus lutosus,112056,FALSE,,Agabinae,Agabus,111966,Agabus,DNI
Agabus seriatus group,111966,FALSE,,Agabinae,Agabus,111966,Agabus,DNI
Agabus/Ilybius/Platambus/Ilybiosoma,728212,FALSE,,Agabinae,Agabinae,728212,Agabinae,DNI
Agapetus,117121,FALSE,,Agapetus,Agapetus,117121,Agapetus,Agapetus
Agathon,121230,FALSE,,Blephariceridae,Agathon,121230,Agathon,Blephariceridae
Agathon comstocki,121237,FALSE,,Blephariceridae,Agathon,121230,Agathon,Blephariceridae
Agraylea,115635,FALSE,,Agraylea,Agraylea,115635,Agraylea,DNI
Alaskaperla ovibovis,103317,FALSE,extreme southern range dubius ID,DNI,Chloroperlidae,103202,Chloroperlidae,DNI
Albertathyas,0,FALSE,,DNI,Albertathyas,0,Trombidiformes,DNI
Albertathyas montana,0,FALSE,,DNI,Albertathyas,0,Trombidiformes,DNI
Albia,83435,FALSE,,DNI,Albia,83435,Trombidiformes,DNI
Alisotrichia,181197,FALSE,"dubius ID as of 2022 known only from AZ, UT and TX",DNI,Hydroptilidae,115629,Hydroptilidae,DNI
Allocladius,-183,FALSE,,DNI,Allocladius,-183,Allocladius,DNI
Allocosmoecus,115969,FALSE,single species in genus,Allocosmoecus partitus,Allocosmoecus partitus,115970,Allocosmoecus partitus,DNI
Allocosmoecus partitus,115970,FALSE,single species in genus,Allocosmoecus partitus,Allocosmoecus partitus,115970,Allocosmoecus partitus,DNI
Allognosta,130160,FALSE,,Stratiomyidae,Allognosta,130160,Allognosta,DNI
Allomyia,116438,FALSE,,DNI,Allomyia,116438,Allomyia,DNI
Alloperla,103203,FALSE,,DNI,Alloperla,103203,Alloperla,DNI
Alotanypus,206646,FALSE,,Alotanypus,Alotanypus,206646,Alotanypus,DNI
Alotanypus/Apsectrotanypus,127994,FALSE,,DNI,Tanypodinae,127994,Tanypodinae,DNI
Altmanella,-185,FALSE,,Lumbriculidae,Altmanella,-185,Oligochaeta,Lumbriculidae
Ambrysus,103614,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Ameletus,100996,FALSE,,Ameletus,Ameletus,100996,Ameletus,Ameletus
Americorophium,656484,FALSE,,DNI,Americorophium,656484,Americorophium,DNI
Americorophium spinicorne,656746,FALSE,,DNI,Americorophium,656484,Americorophium,DNI
Ametor,112890,FALSE,,Hydrophilidae,Ametor,112890,Ametor,Hydrophilidae
Ametor latus,112891,FALSE,,Hydrophilidae,Ametor,112890,Ametor,Hydrophilidae
Ametor scabrosus,112892,FALSE,,Hydrophilidae,Ametor,112890,Ametor,Hydrophilidae
Ametropus,101074,FALSE,,DNI,Ametropus,101074,Ametropus,DNI
Ametropus ammophilus,101077,FALSE,,DNI,Ametropus,101074,Ametropus,DNI
Amiocentrus,116933,FALSE,backed off due to COI data,Amiocentrus,Amiocentrus,116933,Amiocentrus,Amiocentrus
Amiocentrus aspilus,116934,FALSE,backed off due to COI data,Amiocentrus,Amiocentrus,116933,Amiocentrus,Amiocentrus
Amphiagrion,102093,FALSE,,Coenagrionidae,Coenagrionidae,102077,Coenagrionidae,DNI
Amphiagrion abbreviatum,102094,FALSE,,Coenagrionidae,Coenagrionidae,102077,Coenagrionidae,DNI
Amphibia,0,TRUE,Fish,DNI,DNI,FALSE,DNI,DNI
Amphicosmoecus,116253,FALSE,single species in genus,DNI,Amphicosmoecus,116253,Amphicosmoecus,DNI
Amphicosmoecus canax,116254,FALSE,single species in genus,DNI,Amphicosmoecus,116253,Amphicosmoecus,DNI
Amphinemura,102540,FALSE,,Malenka,Malenka,102567,Malenka,Malenka
Amphinemura/Malenka,102567,FALSE,,Malenka,Malenka,102567,Malenka,Malenka
Amphipoda,93294,FALSE,,DNI,Amphipoda,93294,Amphipoda,DNI
Amphizoa,111953,FALSE,,DNI,Amphizoa,111953,Amphizoa,DNI
Amphizoa insolens,111958,FALSE,,DNI,Amphizoa,111953,Amphizoa,DNI
Amphizoa lecontei,111961,FALSE,,DNI,Amphizoa,111953,Amphizoa,DNI
Amphizoidae,111952,FALSE,,DNI,Amphizoa,111953,Amphizoa,DNI
Ampumixis,114196,FALSE,only one species in Genus,Ampumixis dispar,Ampumixis,114196,Ampumixis,Ampumixis dispar
Ampumixis dispar,114197,FALSE,only one species in Genus,Ampumixis dispar,Ampumixis,114196,Ampumixis,Ampumixis dispar
Anacaena,112878,FALSE,,Hydrophilidae,Anacaena,112878,Anacaena,Hydrophilidae
Anafroptilum,-179,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,-268,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Neocloeon,0,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,-268,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Neocloeon/Procloeon,0,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,-268,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anafroptilum/Procloeon,-268,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,-268,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Anagapetus,117154,FALSE,,Anagapetus,Anagapetus,117154,Anagapetus,Anagapetus
Anax,101597,FALSE,,Aeshnidae,Anax,101597,Anax,DNI
Anax junius,101598,FALSE,,Aeshnidae,Anax,101597,Anax,DNI
Anchycteis,114266,FALSE,,DNI,Ptilodactylidae,114265,Ptilodactylidae,DNI
Anchycteis velutina,114267,FALSE,,DNI,Ptilodactylidae,114265,Ptilodactylidae,DNI
Ancylidae,76568,FALSE,,DNI,Ancylidae,76568,Ancylidae,DNI
Ancylinae,FALSE,FALSE,,DNI,Ancylidae,76568,Ancylidae,DNI
Anericorophium,FALSE,FALSE,,DNI,Americorophium,656484,Americorophium,DNI
Anisogammaridae,203113,FALSE,,Anisogammaridae,Anisogammaridae,203113,Anisogammaridae,DNI
Anisogammarus,93747,FALSE,,Anisogammaridae,Anisogammaridae,203113,Anisogammaridae,DNI
Anisoptera,101594,FALSE,,DNI,Anisoptera,101594,Anisoptera,DNI
Annelida,64357,TRUE,TOO COARSE,DNI,DNI,FALSE,DNI,DNI
Anodonta,79930,FALSE,,DNI,Anodonta,79930,Anodonta,DNI
Anodonta oregonsis,FALSE,FALSE,,DNI,Anodonta,79930,Anodonta,DNI
Anopheles,125956,FALSE,,DNI,Anopheles,125956,Anopheles,DNI
Anostraca,FALSE,TRUE,fairy shrimp,DNI,DNI,FALSE,DNI,DNI
Antillocladius,128470,FALSE,,DNI,Orthocladiinae,128457,Orthocladiinae,DNI
Antocha,119656,FALSE,,Antocha,Antocha,119656,Antocha,Antocha
Antocha monticola,119660,FALSE,,Antocha,Antocha,119656,Antocha,Antocha
Anura,FALSE,TRUE,Fish,DNI,DNI,FALSE,DNI,DNI
Apatania,115935,FALSE,,Apatania,Apatania,115935,Apatania,Apatania
Apatania sorex,115936,FALSE,,Apatania,Apatania,115935,Apatania,Apatania
Apataniidae,598182,FALSE,,DNI,Apataniidae,598182,Apataniidae,DNI
Apedilum,206655,FALSE,,Apedilum,Apedilum,206655,Apedilum,DNI
Apobaetis,100936,FALSE,,DNI,Apobaetis,100936,Apobaetis,DNI
Apobaetis indeprensus,FALSE,FALSE,,DNI,Apobaetis,100936,Apobaetis,DNI
Apsectrotanypus,128021,FALSE,,DNI,Apsectrotanypus,128021,Apsectrotanypus,DNI
Apsectrotanypus johnsoni,128024,FALSE,,DNI,Apsectrotanypus,128021,Apsectrotanypus,DNI
Aquarius,717547,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Aquarius nyctalis,717595,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Aquarius remigis,717592,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Arachnida,82708,TRUE,Terrestrial,DNI,DNI,FALSE,DNI,DNI
Araeopidius monachus,708487,FALSE,,DNI,Araeopidius monachus,708487,Araeopidius monachus,DNI
Archilestes,102059,FALSE,,DNI,Archilestes,102059,Archilestes,DNI
Archilestes californica,FALSE,FALSE,,DNI,Archilestes,102059,Archilestes,DNI
Archilestes grandis,102060,FALSE,,DNI,Archilestes,102059,Archilestes,DNI
Archoophora,53965,FALSE,,Trepaxonemata,Trepaxonemata,914204,Trepaxonemata,Trepaxonemata
Arcteonais,68975,FALSE,,Naidinae,Arcteonais,68975,Oligochaeta,Naidinae
Arcteonais lomondi,68976,FALSE,,DNI,Arcteonais,68975,Oligochaeta,Naidinae
Arctoconopa,120398,FALSE,extreme southern range dubius ID,DNI,Limoniidae,-233,Limoniidae,DNI
Arctopsyche,115529,FALSE,,Arctopsyche,Arctopsyche,115529,Arctopsyche,Arctopsyche
Arctopsyche californica,115538,FALSE,,Arctopsyche,Arctopsyche,115529,Arctopsyche,Arctopsyche
Arctopsyche grandis,115530,FALSE,,Arctopsyche,Arctopsyche,115529,Arctopsyche,Arctopsyche
Arctopsyche grandis type 1,FALSE,FALSE,,Arctopsyche,Arctopsyche,115529,Arctopsyche,Arctopsyche
Arctopsyche lagodensis complex,FALSE,FALSE,,Arctopsyche,Arctopsyche,115529,Arctopsyche,Arctopsyche
Arctopsychinae,568763,FALSE,,DNI,Arctopsychinae,568763,Arctopsychinae,DNI
Arctotipula,FALSE,FALSE,,Tipula,Tipula,119037,Tipula,Tipula
Argia,102139,FALSE,,Coenagrionidae,Argia,102139,Argia,Argia
Argia emma,102142,FALSE,,Coenagrionidae,Argia,102139,Argia,Argia
Argia vivida,102150,FALSE,,Coenagrionidae,Argia,102139,Argia,Argia
Argyra,137250,FALSE,,DNI,Dolichopodidae,136824,Dolichopodidae,DNI
Arhynchobdellida,568835,FALSE,,Hirudinida,Arhynchobdellida,568835,Arhynchobdellida,Hirudinida
Arrenuridae,82862,FALSE,,DNI,Arrenuridae,82862,Trombidiformes,DNI
Arrenurus,82864,FALSE,,Arrenurus,Arrenurus,82864,Trombidiformes,Arrenurus
Arsapnia,FALSE,FALSE,,Capniidae,Capniidae,102643,Capniidae,Capniidae
Ascaphus truei,FALSE,TRUE,Fish,DNI,DNI,FALSE,DNI,DNI
Asellidae,92657,FALSE,,DNI,Asellidae,92657,Asellidae,DNI
Asellus,92658,FALSE,,DNI,Asellus,92658,Asellus,DNI
Asioplax,609510,FALSE,,DNI,Asioplax,609510,Asioplax,DNI
Asioplax edmundsi,609625,FALSE,,DNI,Asioplax,609510,Asioplax,DNI
Assia,59719,FALSE,,Nemata,Nemata,563956,Assia,Nemata
Astacidae,97324,FALSE,,Pacifastacus,Astacidae,97324,Astacidae,Pacifastacus
Asynarchus,116221,FALSE,unique rare,DNI,Asynarchus,116221,Asynarchus,DNI
Athericidae,130928,FALSE,,Atherix,Atherix,130929,Atherix,Atherix
Atherix,130929,FALSE,,Atherix,Atherix,130929,Atherix,Atherix
Atherix pachypus,130931,FALSE,,Atherix,Atherix,130929,Atherix,Atherix
Athienemanniidae,83514,FALSE,,Athienemanniidae,Athienemanniidae,83514,Trombidiformes,DNI
Atractelmis,114251,FALSE,only one species in Genus,DNI,Atractelmis,114251,Atractelmis,DNI
Atractelmis wawona,114252,FALSE,only one species in Genus,DNI,Atractelmis,114251,Atractelmis,DNI
Atractidae,63894,FALSE,,Atractides,Atractides,83282,Trombidiformes,Atractides
Atractides,83282,FALSE,,Atractides,Atractides,83282,Trombidiformes,Atractides
Atrichomelina,144657,FALSE,,DNI,Sciomyzidae,144653,Sciomyzidae,DNI
Atrichopogon,127113,FALSE,,Forcipomyiinae,Forcipomyiinae,127112,Forcipomyiinae,Forcipomyiinae
Atrichopogon/Forcipomyia,FALSE,FALSE,,Forcipomyiinae,Forcipomyiinae,127112,Forcipomyiinae,Forcipomyiinae
Attenella,101338,FALSE,,DNI,Attenella,101338,Attenella,Attenella
Attenella delantala,101345,FALSE,,Attenella delantala,Attenella delantala,101345,Attenella delantala,Attenella
Attenella margarita,101343,FALSE,,Attenella margarita,Attenella margarita,101343,Attenella margarita,Attenella
Attenella soquele,568629,FALSE,,DNI,Attenella,101338,Attenella,Attenella
Aturidae,82973,FALSE,,DNI,Aturidae,82973,Trombidiformes,DNI
Aturus,82974,FALSE,,DNI,Aturus,82974,Trombidiformes,DNI
Atylotus/Tabanus,FALSE,FALSE,,Tabanidae,Tabanidae,130934,Tabanidae,Tabanidae
Aulodrilus,68679,FALSE,,Tubificinae,Aulodrilus,68679,Oligochaeta,Tubificinae
Aulodrilus pluriseta,68684,FALSE,,Tubificinae,Aulodrilus,68679,Oligochaeta,Tubificinae
Austrolimnophila,120037,FALSE,,DNI,Austrolimnophila,120037,Austrolimnophila,DNI
Babia,719777,TRUE,Terrestrial,DNI,DNI,FALSE,DNI,DNI
Baetidae,100755,FALSE,,DNI,Baetidae,100755,Baetidae,DNI
Baetis,100800,FALSE,,DNI,Baetis,100800,Baetis,DNI
Baetis alius,100803,FALSE,,Baetis alius,Baetis alius,100803,Baetis alius,Baetis alius
Baetis bicaudatus,100823,FALSE,,Baetis bicaudatus complex,Baetis bicaudatus complex,-175,Baetis bicaudatus complex,Baetis bicaudatus complex
Baetis bicaudatus complex,-175,FALSE,,Baetis bicaudatus complex,Baetis bicaudatus complex,-175,Baetis bicaudatus complex,Baetis bicaudatus complex
Baetis flavistriga,100835,FALSE,,Baetis flavistriga complex,Baetis flavistriga complex,-173,Baetis flavistriga complex,Baetis flavistriga complex
Baetis flavistriga complex,-173,FALSE,,Baetis flavistriga complex,Baetis flavistriga complex,-173,Baetis flavistriga complex,Baetis flavistriga complex
Baetis Fuscatus Gr.,FALSE,FALSE,,Baetis flavistriga complex,Baetis flavistriga complex,-173,Baetis flavistriga complex,Baetis flavistriga complex
Baetis Fuscatus Group,FALSE,FALSE,,Baetis flavistriga complex,Baetis flavistriga complex,-173,Baetis flavistriga complex,Baetis flavistriga complex
Baetis notos,568579,FALSE,,Baetis notos,Baetis notos,568579,Baetis notos,Baetis notos
Baetis piscatoris,100814,FALSE,,Baetis piscatoris complex,Baetis piscatoris complex,-194,Baetis piscatoris complex,Baetis piscatoris complex
Baetis piscatoris complex,-194,FALSE,,Baetis piscatoris complex,Baetis piscatoris complex,-194,Baetis piscatoris complex,Baetis piscatoris complex
Baetis Rhodani Gr.,FALSE,FALSE,,Baetis Rhodani Group,Baetis Rhodani Group,0,Baetis Rhodani Group,DNI
Baetis rhodani group,FALSE,FALSE,,Baetis Rhodani Group,Baetis Rhodani Group,0,Baetis Rhodani Group,DNI
Baetis Rhodani Group,FALSE,FALSE,,Baetis Rhodani Group,Baetis Rhodani Group,0,Baetis Rhodani Group,DNI
Baetis tricaudatus,100817,FALSE,,Baetis tricaudatus complex,Baetis tricaudatus complex,-177,Baetis tricaudatus complex,Baetis tricaudatus complex
Baetis tricaudatus complex,-177,FALSE,,Baetis tricaudatus complex,Baetis tricaudatus complex,-177,Baetis tricaudatus complex,Baetis tricaudatus complex
Baetis tricaudatus Group,FALSE,FALSE,,Baetis tricaudatus complex,Baetis tricaudatus complex,-177,Baetis tricaudatus complex,Baetis tricaudatus complex
Baetisca,101494,FALSE,,DNI,Baetisca,101494,Baetisca,DNI
Baetodes,100938,FALSE,,DNI,Baetodes,100938,Baetodes,DNI
Baetodes tritus,568588,FALSE,,DNI,Baetodes,100938,Baetodes,DNI
Baetopus trishae,697984,TRUE,Dubious ID eastern Taxon,DNI,DNI,FALSE,DNI,DNI
Bandakiopsis,83532,FALSE,,DNI,Bandakiopsis,83532,Trombidiformes,DNI
Banksiola,115911,FALSE,,DNI,Banksiola,115911,Banksiola,DNI
Banksiola crotchi,115912,FALSE,,DNI,Banksiola,115911,Banksiola,DNI
Basommatophora,76437,FALSE,TOO COARSE,DNI,Gastropoda,69459,Gastropoda,DNI
Batracobdella,69358,FALSE,,Hirudinida,Erpobdella,69444,Erpobdella,Hirudinida
Bellardina,FALSE,FALSE,Subgenus of Tipulasemi aquatic,Tipula,Tipula,119037,Tipula,Tipula
Belostoma,103684,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Belostoma flumineum,103689,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Belostomatidae,103683,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Beringotipula,FALSE,TRUE,meticolous habitats- subgenus of Tipula,Tipula,Tipula,119037,Tipula,Tipula
Berosus,112812,FALSE,,Hydrophilidae,Berosus,112812,Berosus,Hydrophilidae
Bethbilbeckia,FALSE,FALSE,,Macropelopia,Bethbilbeckia,0,Bethbilbeckia,Macropelopia
Bezzia,127778,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,127338,Ceratopogoninae,Ceratopogoninae
Bezzia / Palpomyia,FALSE,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,127338,Ceratopogoninae,Ceratopogoninae
Bezzia/Palpomyia,-140,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,127338,Ceratopogoninae,Ceratopogoninae
Bezzia/Palpomyia Group,FALSE,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,127338,Ceratopogoninae,Ceratopogoninae
Bezzia/Probezzia,FALSE,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,127338,Ceratopogoninae,Ceratopogoninae
Bibiocephala,121250,FALSE,,Blephariceridae,Bibiocephala,121250,Bibiocephala,Blephariceridae
Bibiocephala grandis,121251,FALSE,,Blephariceridae,Bibiocephala,121250,Bibiocephala,Blephariceridae
Bilyjomyia,-161,FALSE,,DNI,Bilyjomyia,-161,Bilyjomyia,DNI
Bilyjomyia algens,-159,FALSE,only one species in Genus,DNI,Bilyjomyia,-161,Bilyjomyia,DNI
Bisancora,103300,FALSE,,DNI,Bisancora,103300,Bisancora,DNI
Bittacomorpha,125765,FALSE,,DNI,Bittacomorpha,125765,Bittacomorpha,DNI
Bivalvia,79118,FALSE,TOO COARSE,DNI,Bivalvia,79118,Bivalvia,DNI
Blepharicera,121255,FALSE,,Blephariceridae,Blepharicera,121255,Blepharicera,Blephariceridae
Blepharicera ostensackeni,121267,FALSE,,Blephariceridae,Blepharicera,121255,Blepharicera,Blephariceridae
Blephariceridae,121227,FALSE,,Blephariceridae,Blephariceridae,121227,Blephariceridae,Blephariceridae
Bolshecapnia,102763,FALSE,,Capniidae,Bolshecapnia,102763,Bolshecapnia,Capniidae
Boreochlus,127954,FALSE,,Podonominae,Boreochlus,127954,Boreochlus,Podonominae
Boreoheptagyia,128343,FALSE,,Boreoheptagyia,Boreoheptagyia,128343,Boreoheptagyia,DNI
Boreonectes,-192,FALSE,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Boreonectes,-192,Boreonectes,Hydroporinae
Bosmina,83936,TRUE,excluded from BMI samples,DNI,DNI,FALSE,DNI,DNI
Bothrioneurum,68778,FALSE,,DNI,Bothrioneurum,68778,Oligochaeta,DNI
Bothrioneurum vejdovskyanum,68779,FALSE,,DNI,Bothrioneurum,68778,Oligochaeta,DNI
Brachinus americanus,111792,FALSE,"This is a valid taxon, but I wonder if this was supposed to be Brachycentrus americanus??? TYPO?",DNI,Brachinus americanus,111792,Brachinus americanus,DNI
Brachycentridae,116905,FALSE,,DNI,Brachycentridae,116905,Brachycentridae,DNI
Brachycentrus,116906,FALSE,,DNI,Brachycentrus,116906,Brachycentrus,DNI
Brachycentrus (Oligoplectrum),598769,FALSE,,DNI,Brachycentrus,116906,Brachycentrus,DNI
Brachycentrus americanus,116912,FALSE,,Brachycentrus americanus,Brachycentrus americanus,116912,Brachycentrus americanus,Brachycentrus americanus
Brachycentrus americanus complex,FALSE,FALSE,,Brachycentrus americanus,Brachycentrus americanus,116912,Brachycentrus americanus,Brachycentrus americanus
Brachycentrus echo,604657,FALSE,,DNI,Brachycentrus,116906,Brachycentrus,DNI
Brachycentrus occidentalis,116918,FALSE,,Brachycentrus occidentalis,Brachycentrus occidentalis,116918,Brachycentrus occidentalis,DNI
Brachycera,130052,FALSE,,DNI,Brachycera,130052,Brachycera,DNI
Brachycercus,101468,FALSE,,DNI,Brachycercus,101468,Brachycercus,DNI
Brachypoda,83444,FALSE,,DNI,Brachypoda,83444,Trombidiformes,DNI
Branchiobdella,69180,FALSE,,Branchiobdellida,Branchiobdellida,69168,Branchiobdellida,DNI
Branchiobdellida,69168,FALSE,,Branchiobdellida,Branchiobdellida,69168,Branchiobdellida,DNI
Branchiobdellidae,69169,FALSE,,Branchiobdellida,Branchiobdellida,69168,Branchiobdellida,DNI
Branchiura,68619,FALSE,,DNI,Branchiura,68619,Oligochaeta,DNI
Branchiura sowerbyi,68621,FALSE,,DNI,Branchiura,68619,Oligochaeta,DNI
Bratislavia,69021,FALSE,,DNI,Bratislavia,69021,Oligochaeta,DNI
Brillia,128477,FALSE,,Brillia,Brillia,128477,Brillia,Brillia
Brillia Flavifrons Gr.,FALSE,FALSE,,Brillia,Brillia,128477,Brillia,Brillia
Brillia parva,128481,FALSE,,Brillia,Brillia,128477,Brillia,Brillia
Brillia retifinis,128482,FALSE,,Brillia,Brillia,128477,Brillia,Brillia
Brundiniella,128026,FALSE,,Brundiniella,Brundiniella,128026,Brundiniella,Brundiniella
Brundiniella eumorpha,128028,FALSE,,Brundiniella,Brundiniella,128026,Brundiniella,Brundiniella
Brychius,111947,FALSE,,Haliplidae,Brychius,111947,Brychius,Haliplidae
Bryelmis,945749,FALSE,,Bryelmis,Bryelmis,945749,Bryelmis,DNI
Bryelmis rivularis,FALSE,FALSE,,Bryelmis,Bryelmis,945749,Bryelmis,DNI
Bryelmis siskiyou,FALSE,FALSE,,Bryelmis,Bryelmis,945749,Bryelmis,DNI
Bryophaenocladius,128488,FALSE,,DNI,Bryophaenocladius,128488,Bryophaenocladius,DNI
Bryozoa,FALSE,TRUE,excluded from BMI samples,DNI,DNI,FALSE,DNI,DNI
Buenoa,103583,TRUE,excluded from BMI samples,DNI,DNI,FALSE,DNI,DNI
C. Barr undescribed,FALSE,FALSE,,Bryelmis,Bryelmis,945749,Bryelmis,DNI
Caecidae,71372,TRUE,Marine,DNI,DNI,FALSE,DNI,DNI
Caecidotea,92686,FALSE,,Caecidotea,Caecidotea,92686,Caecidotea,Caecidotea
Caecidotea occidentalis,92755,FALSE,,Caecidotea,Caecidotea,92686,Caecidotea,Caecidotea
Caenidae,101467,FALSE,,DNI,Caenidae,101467,Caenidae,DNI
Caenis,101478,FALSE,,Caenis,Caenis,101478,Caenis,DNI
Caenis amica,101480,FALSE,,Caenis,Caenis,101478,Caenis,DNI
Caenis latipennis,101488,FALSE,,Caenis,Caenis,101478,Caenis,DNI
Caenis tardata,101479,FALSE,,Caenis,Caenis,101478,Caenis,DNI
Caenis youngi,568627,FALSE,,Caenis,Caenis,101478,Caenis,DNI
Caladomyia,-252,FALSE,"in region? Tanytarsini ( neotropical OK,TX, CA)",DNI,Tanytarsini,129872,Tanytarsini,DNI
Calamoceratidae,116529,FALSE,very likely pupae also very likely Heteroplectron-ss,DNI,Heteroplectron californicum,116538,Heteroplectron californicum,DNI
Calanoida,85258,TRUE,excluded from BMI samples,DNI,DNI,FALSE,DNI,DNI
Calasellus,92780,FALSE,Slashed taxon,DNI,Calasellus/Salmasellus,-269,Calasellus/Salmasellus,DNI
Calasellus/Salmasellus,-269,FALSE,Slashed taxon,DNI,Calasellus/Salmasellus,-269,Calasellus/Salmasellus,DNI
Calineuria,102985,FALSE,,Calineuria californica,Calineuria californica,102986,Calineuria californica,Calineuria californica
Calineuria californica,102986,FALSE,,Calineuria californica,Calineuria californica,102986,Calineuria californica,Calineuria californica
Callibaetis,100903,FALSE,,Callibaetis,Callibaetis,100903,Callibaetis,DNI
