Taxon,TSN,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,TSN_OUT,OTU_BCG_MariNW,OTU_BSTI
Gerris buenoi,103842,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Gerris incurvatus,103844,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Gerris remigis,FALSE,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Glans,80768,TRUE,Marine,DNI,DNI,FALSE,DNI,DNI
Gloma,136365,TRUE,Dubious ID?,DNI,DNI,FALSE,DNI,DNI
Glossidae,81361,TRUE,Marine,DNI,DNI,FALSE,DNI,DNI
Glossiphonia,69380,FALSE,,Hirudinida,Glossiphonia,69380,Glossiphonia,Hirudinida
Glossiphonia complanata,69381,FALSE,,Hirudinida,Glossiphonia,69380,Glossiphonia,Hirudinida
Glossiphonia elegans,-224,FALSE,,Hirudinida,Glossiphonia,69380,Glossiphonia,Hirudinida
Glossiphoniidae,69357,FALSE,,Hirudinida,Glossiphoniidae,69357,Glossiphoniidae,Hirudinida
Glossobius,92476,TRUE,marine,DNI,DNI,FALSE,DNI,DNI
Glossosoma,117159,FALSE,,Glossosoma,Glossosoma,117159,Glossosoma,Glossosoma
Glossosoma (Anseriglossa),598802,FALSE,,Glossosoma,Glossosoma,117159,Glossosoma,Glossosoma
Glossosoma alascense,117167,FALSE,,Glossosoma,Glossosoma,117159,Glossosoma,Glossosoma
Glossosoma intermedium,117162,FALSE,,Glossosoma,Glossosoma,117159,Glossosoma,Glossosoma
Glossosoma oregonense,117202,FALSE,,Glossosoma,Glossosoma,117159,Glossosoma,Glossosoma
Glossosoma penitum,FALSE,FALSE,,Glossosoma,Glossosoma,117159,Glossosoma,Glossosoma
Glossosoma penitus,117165,FALSE,,Glossosoma,Glossosoma,117159,Glossosoma,Glossosoma
Glossosoma pyroxum,117207,FALSE,,Glossosoma,Glossosoma,117159,Glossosoma,Glossosoma
Glossosoma traviatum,117213,FALSE,,Glossosoma,Glossosoma,117159,Glossosoma,Glossosoma
Glossosoma velonum,FALSE,FALSE,,Glossosoma,Glossosoma,117159,Glossosoma,Glossosoma
Glossosoma wenatchee,117220,FALSE,,Glossosoma,Glossosoma,117159,Glossosoma,Glossosoma
Glossosomatidae,117120,FALSE,,DNI,Glossosomatidae,117120,Glossosomatidae,DNI
Glossosomatinae,598219,FALSE,,DNI,Glossosomatidae,117120,Glossosomatidae,DNI
Glossosomatini,598243,FALSE,,DNI,Glossosomatidae,117120,Glossosomatidae,DNI
Glossosomatoidea,598167,FALSE,TOO COARSE,DNI,Trichoptera,115095,Trichoptera,DNI
Glutops,130915,FALSE,,Glutops,Glutops,130915,Glutops,Glutops
Glutops bandus,130916,FALSE,,Glutops,Glutops,130915,Glutops,Glutops
Gluvia,744810,TRUE,Terrestrial,DNI,DNI,FALSE,DNI,DNI
Glyphopsyche,116030,FALSE,"valid, rare- marshes and slow systems",DNI,Glyphopsyche,116030,Glyphopsyche,DNI
Glyphopsyche irrorata,116031,FALSE,"valid, rare- marshes and slow systems",DNI,Glyphopsyche,116030,Glyphopsyche,DNI
Glyptotendipes,129483,FALSE,,DNI,Glyptotendipes,129483,Glyptotendipes,DNI
Gnorimosphaeroma,92295,FALSE,,DNI,Gnorimosphaeroma,92295,Gnorimosphaeroma,DNI
Gnorimosphaeroma oregonensis,92296,FALSE,,DNI,Gnorimosphaeroma,92295,Gnorimosphaeroma,DNI
Goera,116423,FALSE,Single Species in Genus,Goera archaon,Goera archaon,116431,Goera archaon,DNI
Goera archaon,116431,FALSE,Single Species in Genus,Goera archaon,Goera archaon,116431,Goera archaon,DNI
Goeracea,116298,FALSE,,DNI,Goeracea,116298,Goeracea,DNI
Goeracea genota,116299,FALSE,,DNI,Goeracea,116298,Goeracea,DNI
Goeracea oregona,116300,FALSE,,DNI,Goeracea,116298,Goeracea,DNI
Goereilla baumanni,116302,FALSE,"rare taxon, Currently known from WA,MT, ID",DNI,Goereilla baumanni,116302,Goereilla baumanni,DNI
Goeridae,115934,FALSE,,DNI,Goeridae,115934,Goeridae,DNI
Goerinae,568758,FALSE,,DNI,Goeridae,115934,Goeridae,DNI
Gomphidae,101664,FALSE,,DNI,Gomphidae,101664,Gomphidae,DNI
Gomphurus,FALSE,FALSE,,DNI,Gomphidae,101664,Gomphidae,DNI
Gomphurus/Phanogomphus,FALSE,FALSE,,DNI,Gomphidae,101664,Gomphidae,DNI
Gomphus,101665,FALSE,changed to family currently no Gomphus in NA,DNI,Gomphidae,101664,Gomphidae,DNI
Gonempeda,120631,FALSE,"not a new Limoniid, but rarely Idd backing off to family",DNI,Limoniidae,-233,Limoniidae,DNI
Gonidea,80032,TRUE,was an Anodonta brackish or tidally influenced freshwater ,DNI,DNI,FALSE,DNI,DNI
Gonidea angulata,80033,TRUE,was an Anodonta brackish or tidally influenced freshwater ,DNI,DNI,FALSE,DNI,DNI
Gonomyia,120640,FALSE,,DNI,Gonomyia,120640,Gonomyia,DNI
Gonomyia/Ellipteriodes/Idiocera,FALSE,FALSE,,DNI,Limoniidae,-233,Limoniidae,DNI
Gonomyodes,120722,FALSE,,DNI,Gonomyodes,120722,Gonomyodes,DNI
Grammotaulius,116309,FALSE,,DNI,Grammotaulius,116309,Grammotaulius,DNI
Graphoderus,112165,FALSE,,DNI,Dytiscidae,111963,Dytiscidae,DNI
Graphoderus liberus,112167,FALSE,,DNI,Dytiscidae,111963,Dytiscidae,DNI
Graphoderus perplexus,112168,FALSE,,DNI,Dytiscidae,111963,Dytiscidae,DNI
Graptocorixa,103547,TRUE,Excluded as water column or surface dwellers,DNI,DNI,FALSE,DNI,DNI
Grensia praeterita,116296,FALSE,,DNI,Limnephilidae,115933,Limnephilidae,DNI
Guestphalinus,68487,FALSE,,Lumbriculidae,Guestphalinus,68487,Oligochaeta,Lumbriculidae
Gumaga,117003,FALSE,,Gumaga,Gumaga,117003,Gumaga,DNI
